cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,NTRCDSM,NTRTMMED,IDcd3less,IDcd3t12s,IDcd1t3s,IDcdov3s,NTRTMLGJ,IDcd3les,IDcd3t12,Idcd1t3,IDcdov3
"8531","13335","926959","1104530","Bank of Coushatta","Coushatta","LA","71019","9/30/2018","11/14/2018","NM","1525 Ringgold Avenue","COUSHATTA BANCSHARES, INC.","1","0","0","7","1","Red River","","","8/1/1897","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Shreveport","Dallas","Southern","Western","0","1","www.bankofcoushatta.com","14263","18993","6301","18637","4920","3398","18853","7554","5112","3707","2480"
"1937","9611","765354","0","Bank of Crocker","Waynesville","MO","65583","9/30/2018","11/14/2018","NM","200 Ichord Ave","","4","0","0","4","1","Pulaski","","","7/5/1911","1/1/1934","4/7/2009","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Springfield Mo","St. louis","Western","West","0","1","http://www.bankofcrocker.com","17895","8816","5224","16016","3712","1759","15235","2250","11181","1004","800"
"1468","10545","324854","1135374","Bank of Crockett","Bells","TN","38006","9/30/2018","11/14/2018","SM","104 Main Street","SECURITY BANCORP OF TENNESSEE, INC.","5","0","0","2","0","Crockett","27180","Jackson, TN","4/22/1887","1/1/1934","3/31/2006","Stock","0","1","FED","DIF","Dallas","DALLAS","Memphis","St. louis","Southern","Southeast","0","1","www.bankofcrockett.com","18258","9795","8282","14971","4800","0","26887","24353","2204","330","0"
"4075","53088","271752","0","Bank of Cushing","Cushing","OK","74023","9/30/2018","11/14/2018","SM","224 East Broadway","","2","0","0","4","0","Payne","","","1/1/1897","1/1/1934","8/2/2011","Stock","0","1","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","www.bankofcushing.net","12409","8092","5740","11814","2947","0","8555","3769","4517","269","0"
"17543","0","441630","1082898","Bank of Dade","Trenton","GA","30752","9/30/2018","11/14/2018","NM","12634 North Main Street","TRI-STATES BANKSHARES, INC.","3","0","0","8","1","Dade","16860","Chattanooga, TN-GA","1/12/1956","1/12/1956","3/31/2006","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Atlanta","Atlanta","Southern","Southeast","0","1","www.bankofdade.com","13966","5519","4078","12352","2824","231","985","371","614","0","0"
"876","0","193537","1085536","Bank of Dawson","Dawson","GA","39842","9/30/2018","11/14/2018","NM","209 Main Street","DAWSON BANCSHARES, INC.","1","0","0","2","1","Terrell","10500","Albany, GA","7/1/1911","1/1/1934","9/14/2018","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Albany Ga","Atlanta","Southern","Southeast","0","1","www.bankofdawson.com","12150","17535","7682","20392","1154","456","5641","2621","2520","500","0"
"2477","14441","588245","1416738","Bank of Deerfield","Deerfield","WI","53531","9/30/2018","11/14/2018","NM","15 South Main Street","DEERFIELD FINANCIAL CORPORATION","2","0","0","4","1","Dane","31540","Madison, WI","1/1/1887","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Madison","Chicago","Central","Central","0","1","www.bankofdeerfield.com","8155","14673","2049","8206","10410","2163","43031","6577","12141","18529","5784"
"99","0","455945","0","Bank of Delight","Delight","AR","71940","9/30/2018","11/14/2018","NM","503 E Antioch Street","","4","0","0","2","1","Pike","","","6/16/1911","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Little Rock","St. louis","Southern","Western","0","1","http://www.bankofdelight.com","20166","13593","5896","13201","11930","2732","15323","1434","3404","6452","4033"
"17569","0","823553","0","Bank of Denton","Denton","KS","66017","9/30/2018","11/14/2018","NM","510 Main Street","","1","0","0","2","0","Doniphan","41140","St. Joseph, MO-KS","10/1/1894","3/8/1956","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","Western","0","1","http://www.bankofdenton.com","2932","681","766","1494","940","413","0","0","0","0","0"
"26542","0","638355","2127022","Bank of DeSoto, National Association","De Soto","TX","75115","9/30/2018","11/14/2018","N","2011 North Hampton Road","D BANCORP, INC.","1","0","0","4","1","Dallas","19100","Dallas-Fort Worth-Arlington, TX","1/27/1986","1/27/1986","3/31/2006","Stock","0","0","OCC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","www.bankdesoto.com","20478","25918","14386","30715","692","603","15175","8831","6042","0","302"
"17327","11810","638131","1085899","Bank of Dickson","Dickson","TN","37055","9/30/2018","11/14/2018","NM","466 Highway 46","DICKSON FINANCIAL CORPORATION","4","0","0","5","0","Dickson","34980","Nashville-Davidson-Murfreesboro-Franklin, TN","5/26/1954","5/26/1954","3/31/2006","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Nashville","Atlanta","Southern","Southeast","0","1","www.bankofdickson.com","33734","20977","10011","31694","12106","901","5489","1268","3968","253","0"
"14912","0","920359","2467942","Bank of Dixon County","Ponca","NE","68770","9/30/2018","11/14/2018","NM","117 East Third Street","KINGSBURY BDC FINANCIAL SERVICES, INC.","3","0","0","2","0","Dixon","43580","Sioux City, IA-NE-SD","1/1/1881","12/10/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux City","Kansas City","Western","West","0","1","http://www.bankofdc.com","12838","10109","3941","11336","5422","2247","1615","357","945","0","313"
