cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,eintexp,edepdom,edepfor,efrepp,ettlotmg,IDEOTHINT,esubnd
"5595","0","311265","2287225","The Yoakum National Bank","Yoakum","TX","77995","9/30/2018","11/14/2018","N","301 West Grand Avenue","YOAKUM NATIONAL BANCSHARES, INC.","1","0","0","8","1","De Witt","","","1/1/1890","1/1/1934","6/21/2010","Stock","0","0","OCC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","0","1","http://www.yoakumnationalbank.com","921","921","","0","0","","0"
"58536","18037","936583","0","Think Mutual Bank","Rochester","MN","55901","9/30/2018","11/14/2018","SA","5200 Members Parkway, Nw","","11","0","0","5","0","Olmsted","40340","Rochester, MN","7/1/2007","7/1/2007","7/21/2011","Non-Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","www.thinkbank.com","2630","2630","","0","0","","0"
"58716","0","3630323","4475473","Third Coast Bank, SSB","Humble","TX","77338","9/30/2018","11/14/2018","SB","20202 Hwy 59 North, # 190","THIRD COAST BANCSHARES, INC","7","0","0","4","0","Harris","26420","Houston-The Woodlands-Sugar Land, TX","2/25/2008","2/25/2008","7/1/2013","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Houston","Dallas","Southern","West","0","1","www.tcbssb.com","6936","6364","","0","","572",""
"30012","4544","915878","0","Third Federal Savings and Loan Association of Cleveland","Cleveland","OH","44105","9/30/2018","11/14/2018","SA","7007 Broadway Avenue","","38","0","1","5","0","Cuyahoga","17460","Cleveland-Elyria, OH","8/4/1938","8/4/1938","7/21/2011","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","0","http://www.thirdfederal.com","128725","79297","","0","49428","","0"
"18258","10783","120609","0","Thomaston Savings Bank","Thomaston","CT","6787","9/30/2018","11/14/2018","SB","203 Main Street","","13","0","0","4","0","Litchfield","","","10/1/1874","7/1/1960","3/31/2006","Non-Stock","0","0","FDIC","DIF","New York","NEW YORK","Hartford","Boston","Northeastern","Northeast","0","1","www.thomastonsavingsbank.com","5507","5507","","0","0","","0"
"34068","15493","2344753","2346010","Thomasville National Bank","Thomasville","GA","31792","9/30/2018","11/14/2018","N","301 North Broad Street","THOMASVILLE BANCSHARES, INC","3","0","0","4","0","Thomas","","","10/2/1995","10/2/1995","1/1/2014","Stock","0","1","OCC","DIF","Atlanta","ATLANTA","Albany Ga","Atlanta","Southern","Southeast","0","1","www.tnbank.com","4992","4236","","0","","756",""
"21557","11267","610557","4404277","Three Rivers Bank of Montana","Kalispell","MT","59901","9/30/2018","11/14/2018","NM","233 East Idaho","KING KALISPELL, LLC","2","0","0","4","0","Flathead","","","5/1/1974","5/1/1974","3/2/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","0","1","WWW.THREERIVERSBANKMONTANA.COM","327","267","","4","56","","0"
"34799","15054","2745529","0","Thrivent Trust Company","Appleton","WI","54919","9/30/2018","11/14/2018","SA","4321 N. Ballard Road","","1","0","0","7","0","Outagamie","11540","Appleton, WI","11/2/1998","11/2/1998","12/1/2012","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Appleton","Chicago","Central","Central","0","0","www.thriventtrust.com","623","2","","0","0","","621"
"14513","13140","698649","2972530","Thumb Bank and Trust","Pigeon","MI","48755","9/30/2018","11/14/2018","SM","7254 Michigan Avenue","THUMB NATIONAL BANK AND TRUST COMPANY EMPLOYEE STOCK OWNERSHIP PLAN","6","0","0","2","1","Huron","","","1/1/1895","6/14/1934","12/19/2017","Stock","0","1","FED","DIF","Chicago","CHICAGO","Detroit","Chicago","Central","Central","0","1","WWW.THUMB.BANK","995","908","","2","","85",""
"34775","15115","2735146","0","TIAA, FSB","Jacksonville","FL","32202","9/30/2018","11/14/2018","SA","501 Riverside Avenue","","14","0","1","5","0","Duval","27260","Jacksonville, FL","10/1/1998","10/1/1998","6/9/2017","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Gainesville","Atlanta","Southern","Southeast","0","0","www.tiaabank.com","313707","203962","","0","109745","","0"
